date,president obama emails
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,35.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,34.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,34.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,36.0
2016-06-11,0.0
2016-06-12,39.0
2016-06-13,0.0
2016-06-14,34.0
2016-06-15,34.0
2016-06-16,0.0
2016-06-17,35.0
2016-06-18,41.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,35.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,41.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,35.0
2016-07-27,0.0
2016-07-28,70.0
2016-07-29,37.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,35.0
2016-08-11,0.0
2016-08-12,36.0
2016-08-13,41.0
2016-08-14,41.0
2016-08-15,36.0
2016-08-16,35.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,40.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,40.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,34.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,35.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,34.0
2016-09-16,0.0
2016-09-17,39.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,33.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,65.0
2016-09-28,33.0
2016-09-29,0.0
2016-09-30,34.0
2016-10-01,11.505016722408026
2016-10-02,11.121516164994427
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,27.354515050167223
2016-10-08,11.888517279821627
2016-10-09,19.0
2016-10-10,9.971014492753623
2016-10-11,36.44202898550725
2016-10-12,9.971014492753623
2016-10-13,31.456521739130437
2016-10-14,27.354515050167223
2016-10-15,0.0
2016-10-16,11.505016722408026
2016-10-17,16.0
2016-10-18,9.587513935340022
2016-10-19,9.971014492753623
2016-10-20,19.558528428093645
2016-10-21,42.971014492753625
2016-10-22,23.010033444816052
2016-10-23,30.005016722408026
2016-10-24,0.0
2016-10-25,25.58751393534002
2016-10-26,35.558528428093645
2016-10-27,0.0
2016-10-28,16.5
2016-10-29,72.89855072463769
2016-10-30,72.01505016722408
2016-10-31,80.29654403567447
2016-11-01,26.471014492753625
2016-11-02,49.85507246376812
2016-11-03,29.14604236343367
2016-11-04,19.942028985507246
2016-11-05,0.0
2016-11-06,22.243032329988853
2016-11-07,76.70011148272017
2016-11-08,47.55406911928651
2016-11-09,53.69007803790412
2016-11-10,49.088071348940915
2016-11-11,20.70903010033445
2016-11-12,23.010033444816052
2016-11-13,0.0
2016-11-14,19.175027870680044
2016-11-15,19.175027870680044
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,22.243032329988853
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,19.175027870680044
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,19.175027870680044
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,19.175027870680044
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,20.70903010033445
2016-12-17,23.010033444816052
2016-12-18,0.0
2016-12-19,19.175027870680044
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,20.70903010033445
2016-12-23,22.243032329988853
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,23.777034559643255
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,21.47603121516165
2017-01-09,18.408026755852845
2017-01-10,18.408026755852845
2017-01-11,28.379041248606466
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,18.408026755852845
2017-01-17,0.0
2017-01-18,18.408026755852845
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,18.408026755852845
2017-01-25,0.0
2017-01-26,19.175027870680044
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,18.408026755852845
2017-02-01,0.0
2017-02-02,18.408026755852845
2017-02-03,19.175027870680044
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,18.408026755852845
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,18.408026755852845
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,18.408026755852845
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,26.530845791191524
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,10.354515050167224
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,5.717854696377483
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,14.921868074303905
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,12.475319337550872
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,11.782246041020269
2017-05-11,11.782246041020269
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,11.782246041020269
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,11.782246041020269
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,12.12878268928557
2017-06-02,0.0
2017-06-03,14.208002578877382
