date,save obamacare
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,5.092288712049951
2016-05-04,5.20063528039144
2016-05-05,10.834656834148833
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,5.092288712049951
2016-05-11,5.20063528039144
2016-05-12,5.20063528039144
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,5.20063528039144
2016-05-20,5.417328417074416
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,5.525674985415905
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,5.417328417074416
2016-05-31,0.0
2016-06-01,5.20063528039144
2016-06-02,5.3089818487329286
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,5.3089818487329286
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,5.417328417074416
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,5.20063528039144
2016-06-22,5.3089818487329286
2016-06-23,5.3089818487329286
2016-06-24,5.525674985415905
2016-06-25,0.0
2016-06-26,6.1757543954648355
2016-06-27,0.0
2016-06-28,5.3089818487329286
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,5.417328417074416
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,6.284100963806323
2016-07-25,0.0
2016-07-26,5.3089818487329286
2016-07-27,0.0
2016-07-28,5.417328417074416
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,5.3089818487329286
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,6.284100963806323
2016-08-15,0.0
2016-08-16,10.617963697465857
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,5.525674985415905
2016-08-27,6.1757543954648355
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,5.092288712049951
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,6.1757543954648355
2016-09-04,0.0
2016-09-05,5.3089818487329286
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,5.850714690440371
2016-09-19,0.0
2016-09-20,4.983942143708464
2016-09-21,4.983942143708464
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,5.092288712049951
2016-09-30,10.617963697465857
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,0.0
2016-10-04,2.491971071854232
2016-10-05,2.491971071854232
2016-10-06,2.5461443560249757
2016-10-07,0.0
2016-10-08,8.839749404773535
2016-10-09,0.0
2016-10-10,0.0
2016-10-11,2.491971071854232
2016-10-12,0.0
2016-10-13,0.0
2016-10-14,2.5461443560249757
2016-10-15,0.0
2016-10-16,2.8170107768786963
2016-10-17,0.0
2016-10-18,2.4377977876834875
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,2.8711840610494406
2016-10-23,0.0
2016-10-24,2.491971071854232
2016-10-25,2.4377977876834875
2016-10-26,17.646234512249244
2016-10-27,14.158552141280108
2016-10-28,10.443405337360124
2016-10-29,8.839749404773535
2016-10-30,2.8711840610494406
2016-10-31,0.0
2016-11-01,7.897260981335148
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,11.265508684863523
2016-11-07,0.0
2016-11-08,19.714640198511166
2016-11-09,9.575682382133994
2016-11-10,0.0
2016-11-11,21.404466501240694
2016-11-12,11.8287841191067
2016-11-13,11.8287841191067
2016-11-14,0.0
2016-11-15,10.138957816377172
2016-11-16,10.138957816377172
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,11.265508684863523
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,9.575682382133994
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,11.265508684863523
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,10.138957816377172
2016-12-07,0.0
2016-12-08,10.138957816377172
2016-12-09,0.0
2016-12-10,12.955334987593051
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,10.138957816377172
2016-12-14,0.0
2016-12-15,10.138957816377172
2016-12-16,10.702233250620347
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,10.702233250620347
2016-12-30,0.0
2016-12-31,24.78411910669975
2017-01-01,0.0
2017-01-02,21.404466501240694
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,10.138957816377172
2017-01-06,20.841191066997517
2017-01-07,0.0
2017-01-08,11.265508684863523
2017-01-09,9.575682382133994
2017-01-10,29.29032258064516
2017-01-11,0.0
2017-01-12,19.15136476426799
2017-01-13,29.853598014888338
2017-01-14,56.32754342431762
2017-01-15,21.967741935483872
2017-01-16,47.878411910669975
2017-01-17,0.0
2017-01-18,19.15136476426799
2017-01-19,0.0
2017-01-20,29.853598014888338
2017-01-21,33.79652605459057
2017-01-22,22.531017369727046
2017-01-23,0.0
2017-01-24,9.575682382133994
2017-01-25,9.575682382133994
2017-01-26,19.714640198511166
2017-01-27,10.138957816377172
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,9.575682382133994
2017-02-01,19.15136476426799
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,9.575682382133994
2017-02-07,9.575682382133994
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,38.86600496277916
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,11.265508684863523
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,10.787841191066997
2017-03-02,4.787841191066997
2017-03-03,0.0
2017-03-04,12.351116625310173
2017-03-05,17.202233250620345
2017-03-06,0.0
2017-03-07,5.5
2017-03-08,25.581885856079403
2017-03-09,16.787841191066995
2017-03-10,15.857320099255583
2017-03-11,5.632754342431761
2017-03-12,11.851116625310173
2017-03-13,25.863523573200993
2017-03-14,30.65136476426799
2017-03-15,15.575682382133994
2017-03-16,10.787841191066997
2017-03-17,0.0
2017-03-18,5.351116625310174
2017-03-19,5.351116625310174
2017-03-20,15.575682382133994
2017-03-21,9.575682382133994
2017-03-22,14.794044665012407
2017-03-23,36.93300248138958
2017-03-24,75.34739454094293
2017-03-25,14.0
2017-03-26,19.63275434243176
2017-03-27,6.0
2017-03-28,15.575682382133994
2017-03-29,10.787841191066997
2017-03-30,10.787841191066997
2017-03-31,5.069478908188586
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,12.0
2017-04-11,0.0
2017-04-12,25.0
2017-04-13,13.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,15.0
2017-04-17,13.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,24.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,12.0
2017-05-04,24.0
2017-05-05,12.0
2017-05-06,14.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,12.0
2017-05-10,12.0
2017-05-11,12.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,14.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,25.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
